arquitectura,capas_ocultas,neuronas_totales,parametros,seed,mejor_epoca,epocas_corridas,pr_auc_seleccion_2022
32,1,32,5473,42,26,46,0.3763371205219323
32,1,32,5473,314,23,43,0.3770459639815096
32,1,32,5473,2718,26,46,0.3701239000505743
64,1,64,10945,42,15,35,0.38968101600866917
64,1,64,10945,314,11,31,0.39061371011241713
64,1,64,10945,2718,10,30,0.4143339387420294
128,1,128,21889,42,14,34,0.3800012182174366
128,1,128,21889,314,10,30,0.38471463415299145
128,1,128,21889,2718,7,27,0.3886972112432644
32-16,2,48,5985,42,19,39,0.37448530380674505
32-16,2,48,5985,314,21,41,0.3727243172293325
32-16,2,48,5985,2718,34,54,0.3684872640631879
64-32,2,96,12993,42,16,36,0.3913486618716483
64-32,2,96,12993,314,14,34,0.37343205690446163
64-32,2,96,12993,2718,21,41,0.35886812390369227
128-64,2,192,30081,42,18,38,0.3833208017100856
128-64,2,192,30081,314,11,31,0.3926597523745477
128-64,2,192,30081,2718,13,33,0.37114027027948615
256-128,2,384,76545,42,6,26,0.3800633955148509
256-128,2,384,76545,314,5,25,0.3879054599186541
256-128,2,384,76545,2718,7,27,0.37868183453716614
64-32-16,3,112,13505,42,19,39,0.38676814625245326
64-32-16,3,112,13505,314,29,49,0.38217557327052104
64-32-16,3,112,13505,2718,37,57,0.37393509390546686
128-64-32,3,224,32129,42,15,35,0.38601125568034383
128-64-32,3,224,32129,314,14,34,0.3831328889619667
128-64-32,3,224,32129,2718,17,37,0.36541182871236966
