audit_id,dropout,l2,seed,epochs_ran,threshold_validation,f1_multifatal,precision_multifatal,recall_multifatal,pr_auc,roc_auc
L2 + dropout (canónica),0.35,0.0003,42,35,0.65,0.39203675344563554,0.2800875273522976,0.6530612244897959,0.3386115002819217,0.815676048689986
L2 + dropout (canónica),0.35,0.0003,314,42,0.65,0.40860215053763443,0.3149171270718232,0.5816326530612245,0.33462956280724115,0.8139904520566541
L2 + dropout (canónica),0.35,0.0003,2718,48,0.65,0.4025974025974026,0.29523809523809524,0.6326530612244898,0.3249225371369564,0.8113743834562651
Solo L2,0.0,0.0003,42,45,0.6,0.38578680203045684,0.28860759493670884,0.5816326530612245,0.3380876431989814,0.8074799764695234
Solo L2,0.0,0.0003,314,32,0.65,0.3942766295707472,0.2863741339491917,0.6326530612244898,0.3223132563329167,0.8107917779085028
Solo L2,0.0,0.0003,2718,24,0.6,0.3926940639269406,0.279826464208243,0.6581632653061225,0.33459575253481944,0.8171184216480384
Solo dropout,0.35,0.0,42,34,0.65,0.393026941362916,0.2850574712643678,0.6326530612244898,0.339624171474529,0.8152744468075478
Solo dropout,0.35,0.0,314,41,0.65,0.4101633393829401,0.3183098591549296,0.576530612244898,0.3318460052664385,0.8106560251595095
Solo dropout,0.35,0.0,2718,34,0.65,0.3808,0.2773892773892774,0.6071428571428571,0.3167306996248488,0.8085829675550928
Sin L2 ni dropout,0.0,0.0,42,36,0.65,0.3904923599320883,0.2926208651399491,0.5867346938775511,0.33022492333978354,0.8052287433820535
Sin L2 ni dropout,0.0,0.0,314,30,0.7,0.3942652329749104,0.30386740331491713,0.5612244897959183,0.3229897896975877,0.8078363274356306
Sin L2 ni dropout,0.0,0.0,2718,25,0.6,0.39009287925696595,0.28,0.6428571428571429,0.33495824133189017,0.8181903027286301
