rank,feature,raw_variable_group,mean_abs_shap,mean_signed_shap,positive_contribution_share
1,n_pasajeros,PERSONAS INVOLUCRADAS,0.1085828906,-0.001645054025,0.298828125
2,n_personas,PERSONAS INVOLUCRADAS,0.1056376066,0.002534440629,0.30078125
3,n_peatones,PERSONAS INVOLUCRADAS,0.04399632209,0.01016401068,0.34765625
4,n_vehiculos,VEHICULOS INVOLUCRADOS,0.02719953216,-0.003425241487,0.3515625
5,clase_atropello,CLASE,0.0176957964,-0.00185588928,0.66796875
6,clase_despiste,CLASE,0.01676497913,-0.001858408608,0.26171875
7,red_vial_urbano,RED_VIAL,0.01355337428,-0.002030108743,0.75390625
8,road_network_class_nacional__atropello,RED_VIAL × CLASE,0.01205185616,0.001320376511,0.833984375
9,n_no_identificado,VEHICULOS INVOLUCRADOS,0.01127613925,0.0003607651216,0.861328125
10,edad_media_involucrados,EDAD INVOLUCRADOS,0.01111568592,-0.00135697995,0.5234375
11,zona_rural,ZONA,0.01062756443,-0.0004342723203,0.541015625
12,n_moto,VEHICULOS INVOLUCRADOS,0.009888236517,0.0001236483958,0.4375
13,hora_sin,HORA,0.009503822551,-0.0003646868632,0.4609375
14,mes_cos,FECHA,0.009437475202,0.001889087594,0.611328125
15,tipo_via_calle,TIPO_VIA,0.008114350454,0.003389097848,0.951171875
16,departamento_cusco,DEPARTAMENTO / REGION_NATURAL,0.007782514746,0.0002551207358,0.89453125
17,caracteristica_recto,CARACTERISTICA_VIA,0.007686775135,-0.0003713119362,0.34375
18,road_network_class_urbano__choque,RED_VIAL × CLASE,0.007107126696,0.000585893622,0.921875
19,LONGITUD,COORDENADAS,0.007033117114,0.001946667482,0.654296875
20,n_bus,VEHICULOS INVOLUCRADOS,0.006970159772,0.0005300621855,0.166015625
21,road_type_zone_calle__urbana,TIPO_VIA × ZONA,0.006676988321,0.002148299952,0.953125
22,departamento_lima,DEPARTAMENTO / REGION_NATURAL,0.006528599301,-0.001412335984,0.76953125
23,perfil_inclinada,PERFIL_VIA,0.00644616294,0.0004249940371,0.244140625
24,mes_sin,FECHA,0.006396927109,-8.563397197e-06,0.548828125
25,zona_urbana,ZONA,0.006393692541,-0.0002631112823,0.51953125
26,n_transporte_publico,VEHICULOS INVOLUCRADOS,0.00637011847,-0.0006421109715,0.302734375
27,via_freq,CODIGO_VIA,0.005604453531,-0.0013842224,0.345703125
28,road_network_class_nacional__choque,RED_VIAL × CLASE,0.005230240457,-0.0007615374761,0.560546875
29,franja_noche,HORA,0.005125680361,4.342211701e-05,0.33984375
30,dia_semana_sin,FECHA,0.004929859035,0.0003326422685,0.533203125
31,n_pesado_carga,VEHICULOS INVOLUCRADOS,0.004897277555,0.0003261563665,0.466796875
32,LATITUD,COORDENADAS,0.004765551982,-0.0005351453066,0.501953125
33,n_conductor_fugado,PERSONAS INVOLUCRADAS,0.004680908398,0.001190508803,0.689453125
34,dia_semana_cos,FECHA,0.004549703494,-0.0003001130827,0.552734375
35,nocturno,HORA,0.004412042578,0.0007809852243,0.462890625
36,superficie_trocha,SUPERFICIE,0.004206967163,-0.0002833184206,0.068359375
37,fin_de_semana,FECHA,0.004079907479,0.0007685303221,0.65234375
38,franja_tarde,HORA,0.00404966915,8.604526359e-05,0.658203125
39,departamento_piura,DEPARTAMENTO / REGION_NATURAL,0.003938871148,0.0001588499543,0.9453125
40,departamento_san_martin,DEPARTAMENTO / REGION_NATURAL,0.003870471244,9.055062579e-05,0.982421875
41,clase_choque,CLASE,0.003738530153,0.0002093024538,0.5703125
42,red_vial_nacional,RED_VIAL,0.003596784823,0.0002448215461,0.455078125
43,departamento_arequipa,DEPARTAMENTO / REGION_NATURAL,0.003563298469,0.0002806205191,0.771484375
44,road_network_class_nacional__despiste,RED_VIAL × CLASE,0.00355338375,-0.0005986707646,0.35546875
45,region_sierra,DEPARTAMENTO / REGION_NATURAL,0.003549214274,6.608822791e-05,0.45703125
46,hora_cos,HORA,0.003547815937,0.0005138035875,0.544921875
47,night_rural,HORA × ZONA,0.003462747147,-0.0002843168377,0.720703125
48,road_network_class_departamental__choque,RED_VIAL × CLASE,0.003422291296,0.0003521240187,0.96875
49,via_prefijo_desconocido,CODIGO_VIA,0.003388862865,-0.0003175108018,0.69921875
50,via_prefijo_ar,CODIGO_VIA,0.003192039554,-0.001156461648,0.9716775599
51,red_vial_departamental,RED_VIAL,0.003027917855,0.0001669967732,0.146484375
52,perfil_plana,PERFIL_VIA,0.003025163688,8.51071129e-05,0.720703125
53,road_type_zone_carretera__rural,TIPO_VIA × ZONA,0.002954089538,-2.538589539e-05,0.466796875
54,n_interprovincial,VEHICULOS INVOLUCRADOS,0.002940854575,0.0001822163536,0.798828125
55,caracteristica_curva,CARACTERISTICA_VIA,0.002815850916,-0.0006409165383,0.748046875
56,clima_despejado,CLIMA,0.002768598737,0.0005202018533,0.84765625
57,superficie_pavimentada,SUPERFICIE,0.002692071086,0.0008487813697,0.68359375
58,via_prefijo_pe,CODIGO_VIA,0.00259619004,-0.000464404076,0.435546875
59,franja_madrugada,HORA,0.002549557691,5.308686523e-05,0.486328125
60,region_costa,DEPARTAMENTO / REGION_NATURAL,0.002441071099,0.0004415341503,0.583984375
61,road_type_zone_carretera__urbana,TIPO_VIA × ZONA,0.002428958066,-0.0004005945218,0.37109375
62,clase_especial,CLASE,0.002408476423,-0.0007018080691,0.9644268775
63,road_network_class_departamental__despiste,RED_VIAL × CLASE,0.002393165303,-6.572830674e-05,0.025390625
64,tipo_via_avenida,TIPO_VIA,0.002374980407,0.0006178129955,0.2890625
65,departamento_lambayeque,DEPARTAMENTO / REGION_NATURAL,0.002357422288,0.0009691742787,0.978515625
66,road_network_class_provincial__atropello,RED_VIAL × CLASE,0.00232477689,-0.001155761749,0.9677419355
67,departamento_la_libertad,DEPARTAMENTO / REGION_NATURAL,0.002300162981,0.0003557229592,0.140625
68,franja_manana,HORA,0.002257373529,0.0002799852119,0.548828125
