rank,raw_variable_group,processed_feature_count,mean_abs_grouped_shap,mean_signed_grouped_shap,positive_contribution_share,average_direction,importance_share
1,CLASE,6,0.08037158741,-0.009516790334,0.615234375,lower raw score,0.1901309822
2,RED_VIAL × CLASE,30,0.0580450096,-0.003244131301,0.46875,lower raw score,0.1373141311
3,TIPO_VIA × ZONA,18,0.04607710593,0.002074812551,0.52734375,higher raw score,0.1090022692
4,ZONA,3,0.0360616647,-0.002832530762,0.54296875,lower raw score,0.08530924858
5,RED_VIAL,5,0.03105113686,-0.001872865923,0.556640625,lower raw score,0.07345609736
6,CODIGO_VIA,27,0.02352563734,-0.001594194526,0.572265625,lower raw score,0.05565340536
7,DEPARTAMENTO / REGION_NATURAL,29,0.02207396243,0.0008680820581,0.58984375,higher raw score,0.05221925177
8,PERFIL_VIA,3,0.02142375147,0.001425035382,0.234375,higher raw score,0.05068108072
9,CARACTERISTICA_VIA,6,0.02093827172,0.001482651723,0.291015625,higher raw score,0.04953260594
10,COORDENADAS,3,0.01760393951,0.002090838313,0.68359375,higher raw score,0.04164474558
11,SUPERFICIE,4,0.01595159789,-0.003895246208,0.119140625,lower raw score,0.03773588494
12,FECHA,5,0.01566388881,-0.001023764874,0.509765625,lower raw score,0.03705526617
13,HORA,9,0.01561741981,-0.003159030246,0.408203125,lower raw score,0.03694533683
14,TIPO_VIA,6,0.0131313339,0.003466740951,0.845703125,higher raw score,0.03106412966
15,CLIMA,6,0.003066053269,0.0002575087712,0.791015625,higher raw score,0.007253206491
16,HORA × ZONA,1,0.00183923026,-7.64292223e-05,0.478515625,lower raw score,0.004350973611
17,CLIMA × CARACTERISTICA_VIA,1,0.0002753512641,7.750837849e-05,0.4597457627,higher raw score,0.0006513845003
