raw_variable_group,rank_median,rank_min,rank_max,importance_share_mean,importance_share_sd,rank_range,stability_tier
VEHICULOS INVOLUCRADOS,1,1,1,0.2136866815,0.005971281252,0,stable_top
CLASE,2,2,2,0.1259668487,0.004501090694,0,stable_top
RED_VIAL × CLASE,3,3,3,0.1191121401,0.001853551847,0,stable_top
TIPO_VIA × ZONA,4,4,4,0.07260117923,0.002035434668,0,stable_top
ZONA,5,5,5,0.06574693721,0.001330604254,0,stable_top
RED_VIAL,6,6,6,0.05675959327,0.003674487711,0,stable_band
DEPARTAMENTO / REGION_NATURAL,7,7,8,0.04958304911,0.002442222541,1,stable_band
CARACTERISTICA_VIA,8,8,9,0.0453077798,0.001903074763,1,stable_band
TIPO_VIA,9,7,9,0.04399081747,0.004088151481,2,stable_band
HORA,10,10,11,0.03726178548,0.001942107241,1,stable_band
COORDENADAS,11,10,11,0.03667808739,0.003178636063,1,stable_band
FECHA,12,12,13,0.03339741368,0.001395295236,1,stable_band
CODIGO_VIA,13,12,13,0.03222973724,0.001539642979,1,stable_band
SUPERFICIE,14,14,14,0.02855219071,0.001668097342,0,stable_band
PERFIL_VIA,15,15,15,0.02456469803,0.0008818399613,0,stable_band
HORA × ZONA,16,16,16,0.01101456137,0.0005229878933,0,stable_band
CLIMA,17,17,17,0.003256642468,0.0003337594186,0,stable_band
CLIMA × CARACTERISTICA_VIA,18,18,18,0.0002898572215,1.905488595e-05,0,stable_band
