probability_scale,metric,estimate,ci_2_5,ci_97_5,bootstrap_iterations
raw,f1_multifatal,0.4030075187969925,0.34959875378792493,0.4487384530693353,1000
raw,precision_multifatal,0.30248306997742663,0.256568968066233,0.3460762384202195,1000
raw,recall_multifatal,0.6036036036036037,0.5401717597250167,0.6619718309859155,1000
raw,pr_auc,0.3253659243334752,0.2702557905517203,0.3870531070301554,1000
raw,roc_auc,0.7916207252028149,0.7595305819321428,0.8226611299086315,1000
raw,brier,0.16421911120414734,0.15499318055808545,0.17340950593352317,1000
raw,ece_10_bins,0.23384416398448757,0.22007553327146848,0.24854814546415585,1000
calibrated,f1_multifatal,0.39893617021276595,0.35226419235271167,0.4423350436259401,1000
calibrated,precision_multifatal,0.2830188679245283,0.24301970948323495,0.32285826809528967,1000
calibrated,recall_multifatal,0.6756756756756757,0.6142794486215539,0.7330321535393818,1000
calibrated,pr_auc,0.3253659243334752,0.2702557905517203,0.3870531070301554,1000
calibrated,roc_auc,0.7916207252028149,0.7595305819321428,0.8226611299086315,1000
calibrated,brier,0.07771894431136563,0.06939957947975664,0.08567397770625401,1000
calibrated,ece_10_bins,0.013263074379969311,0.008390125825424543,0.02687794982169282,1000
