probability_scale,class_or_average,precision,recall,f1-score,support
raw,single_fatality,0.9304871373836892,0.845771144278607,0.8861089392754756,2010.0
raw,multifatal,0.2345679012345679,0.42792792792792794,0.30303030303030304,222.0
raw,accuracy,0.8042114695340502,0.8042114695340502,0.8042114695340502,0.8042114695340502
raw,macro avg,0.5825275193091285,0.6368495361032674,0.5945696211528894,2232.0
raw,weighted avg,0.8612693638957389,0.8042114695340502,0.8281145587887245,2232.0
calibrated,single_fatality,0.9279182356105433,0.8582089552238806,0.8917032825019385,2010.0
calibrated,multifatal,0.2359249329758713,0.3963963963963964,0.2957983193277311,222.0
calibrated,accuracy,0.8122759856630825,0.8122759856630825,0.8122759856630825,0.8122759856630825
calibrated,macro avg,0.5819215842932073,0.6273026758101385,0.5937508009148348,2232.0
calibrated,weighted avg,0.8590909447570948,0.8122759856630825,0.832433165196977,2232.0
