row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction
6872,2024-01-01,ICA,0,0.00976623,0.8,0,platt,0.015368889647569694,0.3,0
6873,2024-01-01,APURIMAC,0,0.009787558,0.8,0,platt,0.015388102819036707,0.3,0
6874,2024-01-01,LIMA,0,0.678407,0.8,0,platt,0.2555038973494342,0.3,0
6875,2024-01-01,LIMA,0,1.6712656e-05,0.8,0,platt,0.00039552004452373475,0.3,0
6876,2024-01-01,CUSCO,0,0.0008554965,0.8,0,platt,0.003805038682558932,0.3,0
6877,2024-01-01,APURIMAC,0,0.00015597505,0.8,0,platt,0.0014304354183437408,0.3,0
6878,2024-01-01,CAJAMARCA,0,0.7752036,0.8,0,platt,0.3129445906952576,0.3,1
6879,2024-01-01,LIMA,0,0.036940213,0.8,0,platt,0.033002388488366376,0.3,0
6880,2024-01-02,ICA,0,0.7914004,0.8,0,platt,0.32488609514102873,0.3,1
6881,2024-01-02,LIMA,0,0.0042444374,0.8,0,platt,0.009535914346058123,0.3,0
6882,2024-01-02,LIMA,0,5.3556912e-05,0.8,0,platt,0.000773270590557783,0.3,0
6883,2024-01-02,AREQUIPA,0,1.7282372e-07,0.8,0,platt,7.81343183520656e-05,0.3,0
6884,2024-01-03,AREQUIPA,0,1.2966578e-05,0.8,0,platt,0.0003417475113703635,0.3,0
6885,2024-01-03,MOQUEGUA,0,0.01911567,0.8,0,platt,0.02258475963382962,0.3,0
6886,2024-01-03,LA LIBERTAD,0,0.0027974087,0.8,0,platt,0.007509237776864361,0.3,0
6887,2024-01-03,AMAZONAS,0,0.05669561,0.8,0,platt,0.042333271005521256,0.3,0
6888,2024-01-04,CUSCO,0,0.8896375,0.8,1,platt,0.42621539699719924,0.3,1
6889,2024-01-04,TUMBES,0,0.044056524,0.8,0,platt,0.03654890028357065,0.3,0
6890,2024-01-04,ICA,1,0.8835281,0.8,1,platt,0.41767814144278753,0.3,1
6891,2024-01-04,AYACUCHO,0,0.054297585,0.8,0,platt,0.041277605842652956,0.3,0
6892,2024-01-04,PUNO,0,0.02659629,0.8,0,platt,0.027305054028261732,0.3,0
6893,2024-01-05,JUNIN,0,0.77097124,0.8,0,platt,0.3099644077432638,0.3,1
6894,2024-01-05,AREQUIPA,0,0.013599274,0.8,0,platt,0.018578699430466004,0.3,0
6895,2024-01-05,TACNA,1,0.7622766,0.8,0,platt,0.3040089125883641,0.3,1
6896,2024-01-05,CUSCO,0,0.00025141967,0.8,0,platt,0.001882449803446665,0.3,0
6897,2024-01-05,CUSCO,0,0.09639651,0.8,0,platt,0.057952039084841,0.3,0
6898,2024-01-06,CUSCO,0,0.00246294,0.8,0,platt,0.006980553554948763,0.3,0
6899,2024-01-06,LIMA,0,6.6447396e-06,0.8,0,platt,0.00023254892741441982,0.3,0
6900,2024-01-06,CUSCO,0,0.107065745,0.8,0,platt,0.06173764658545431,0.3,0
6901,2024-01-06,CAJAMARCA,0,0.0016041101,0.8,0,platt,0.005458574683631572,0.3,0
6902,2024-01-06,PASCO,0,8.445686e-06,0.8,0,platt,0.00026698882528465324,0.3,0
6903,2024-01-07,PUNO,0,0.0052097826,0.8,0,platt,0.010723746131914407,0.3,0
6904,2024-01-07,LIMA,0,0.013746811,0.8,0,platt,0.018693944656052383,0.3,0
6905,2024-01-07,AREQUIPA,0,0.0010325498,0.8,0,platt,0.004239047462501625,0.3,0
6906,2024-01-07,AYACUCHO,0,0.7641815,0.8,0,platt,0.3052951220103151,0.3,1
6907,2024-01-07,PUNO,0,9.43589e-05,0.8,0,platt,0.0010712396020017543,0.3,0
6908,2024-01-08,LIMA,0,0.0014849841,0.8,0,platt,0.005222156423654306,0.3,0
6909,2024-01-08,LA LIBERTAD,1,0.8937188,0.8,1,platt,0.43217850142354286,0.3,1
6910,2024-01-09,LA LIBERTAD,0,0.8558431,0.8,1,platt,0.3837928458965199,0.3,1
6911,2024-01-09,LIMA,0,0.0015820551,0.8,0,platt,0.005415385997192433,0.3,0
6912,2024-01-10,LIMA,0,0.0008385253,0.8,0,platt,0.003761503864980648,0.3,0
6913,2024-01-10,LIMA,0,0.0008385999,0.8,0,platt,0.0037616961064192117,0.3,0
6914,2024-01-10,ICA,1,0.8111121,0.8,1,platt,0.3407257475773187,0.3,1
6915,2024-01-11,PASCO,0,0.14573713,0.8,0,platt,0.07460441438532396,0.3,0
6916,2024-01-11,TACNA,0,0.93797934,0.8,1,platt,0.5162724464606593,0.3,1
6917,2024-01-11,CUSCO,0,0.04789361,0.8,0,platt,0.03836630694848064,0.3,0
6918,2024-01-11,CALLAO,0,0.0011057161,0.8,0,platt,0.0044089802141689585,0.3,0
6919,2024-01-11,LIMA,1,7.610307e-06,0.8,0,platt,0.00025144676989028857,0.3,0
6920,2024-01-12,PIURA,1,0.21943134,0.8,0,platt,0.0970585493108159,0.3,0
6921,2024-01-12,LIMA,0,0.0042699086,0.8,0,platt,0.00956865858484381,0.3,0
6922,2024-01-13,JUNIN,0,0.01183856,0.8,0,platt,0.01715980680806353,0.3,0
6923,2024-01-13,AREQUIPA,0,1.5023574e-05,0.8,0,platt,0.00037198549818630153,0.3,0
6924,2024-01-13,LIMA,0,0.0042210217,0.8,0,platt,0.009505738110736267,0.3,0
6925,2024-01-13,PASCO,1,0.10741262,0.8,0,platt,0.06185864300738106,0.3,0
6926,2024-01-13,AREQUIPA,1,0.8863869,0.8,1,platt,0.4216173101547356,0.3,1
6927,2024-01-13,AREQUIPA,0,0.0032133516,0.8,0,platt,0.008130256647240715,0.3,0
6928,2024-01-14,LIMA,0,0.0031732572,0.8,0,platt,0.008071957551126437,0.3,0
6929,2024-01-14,CAJAMARCA,0,0.89237416,0.8,1,platt,0.4301897347797054,0.3,1
6930,2024-01-14,LA LIBERTAD,1,0.84731156,0.8,1,platt,0.3746383988869339,0.3,1
6931,2024-01-14,LIMA,0,0.17552252,0.8,0,platt,0.08390247342789307,0.3,0
6932,2024-01-14,PIURA,0,0.0019005791,0.8,0,platt,0.006016341980685013,0.3,0
6933,2024-01-14,LIMA,0,0.00020902633,0.8,0,platt,0.001692785818166525,0.3,0
6934,2024-01-14,AYACUCHO,0,0.21320137,0.8,0,platt,0.09521912330664573,0.3,0
6935,2024-01-14,ICA,0,0.0040738913,0.8,0,platt,0.009314463123002074,0.3,0
6936,2024-01-14,AYACUCHO,1,0.9454221,0.8,1,platt,0.5357635354747278,0.3,1
6937,2024-01-14,APURIMAC,0,0.028760297,0.8,0,platt,0.028563103308797688,0.3,0
6938,2024-01-15,PUNO,0,0.17281388,0.8,0,platt,0.08307249023347821,0.3,0
6939,2024-01-15,LIMA,0,0.026761733,0.8,0,platt,0.027402690831219836,0.3,0
6940,2024-01-15,LIMA,0,0.71425873,0.8,0,platt,0.2745366285936549,0.3,0
6941,2024-01-15,TUMBES,0,6.4749904e-05,0.8,0,platt,0.0008625227812136057,0.3,0
6942,2024-01-15,AMAZONAS,0,0.05052976,0.8,0,platt,0.03958195693337602,0.3,0
6943,2024-01-15,HUANCAVELICA,1,0.6871464,0.8,0,platt,0.25995009166491023,0.3,0
6944,2024-01-15,LA LIBERTAD,0,0.02189855,0.8,0,platt,0.02441794542985902,0.3,0
6945,2024-01-16,ICA,0,0.009469916,0.8,0,platt,0.015100071081771159,0.3,0
6946,2024-01-17,JUNIN,0,0.0028220366,0.8,0,platt,0.007547065335245922,0.3,0
6947,2024-01-17,LIMA,0,0.008320811,0.8,0,platt,0.014021834380020094,0.3,0
6948,2024-01-17,PUNO,0,0.00066501775,0.8,0,platt,0.003292533621286418,0.3,0
6949,2024-01-17,CUSCO,0,0.064467065,0.8,0,platt,0.04564370636576906,0.3,0
6950,2024-01-17,TUMBES,0,0.00048042426,0.8,0,platt,0.0027314547492690434,0.3,0
6951,2024-01-18,CAJAMARCA,0,0.45429045,0.8,0,platt,0.1672796852503846,0.3,0
6952,2024-01-18,HUANCAVELICA,1,0.78436184,0.8,0,platt,0.31958782420822335,0.3,1
6953,2024-01-18,PIURA,0,0.6527936,0.8,0,platt,0.24309649402722566,0.3,0
