umbral,precision,recall,f1,alertas
0.02,0.13315926892950392,0.918918918918919,0.23261117445838084,1532
0.03,0.1480117820324006,0.9054054054054054,0.25443037974683547,1358
0.04,0.1608910891089109,0.8783783783783784,0.2719665271966527,1212
0.05,0.1721311475409836,0.8513513513513513,0.2863636363636364,1098
0.06,0.1862348178137652,0.8288288288288288,0.30413223140495865,988
0.07,0.2022346368715084,0.8153153153153153,0.32408236347359,895
0.08,0.21454545454545454,0.7972972972972973,0.33810888252148996,825
0.09,0.22597402597402597,0.7837837837837838,0.35080645161290325,770
0.1,0.23300970873786409,0.7567567567567568,0.3563096500530223,721
0.11,0.2444113263785395,0.7387387387387387,0.3673012318029115,671
0.12,0.2568218298555377,0.7207207207207207,0.378698224852071,623
0.13,0.2674616695059625,0.7072072072072072,0.38813349814585907,587
0.14,0.275,0.6936936936936937,0.3938618925831202,560
0.15,0.2830188679245283,0.6756756756756757,0.39893617021276595,530
0.16,0.28884462151394424,0.6531531531531531,0.4005524861878453,502
0.17,0.2974683544303797,0.6351351351351351,0.4051724137931034,474
0.18,0.30248306997742663,0.6036036036036037,0.4030075187969925,443
0.19,0.29550827423167847,0.5630630630630631,0.3875968992248062,423
0.2,0.3009950248756219,0.545045045045045,0.38782051282051283,402
0.21,0.2994652406417112,0.5045045045045045,0.37583892617449666,374
0.22,0.29253731343283584,0.44144144144144143,0.3518850987432675,335
0.23,0.2948717948717949,0.4144144144144144,0.3445692883895131,312
0.24,0.30357142857142855,0.38288288288288286,0.3386454183266932,280
0.25,0.3093220338983051,0.32882882882882886,0.31877729257641924,236
0.26,0.32075471698113206,0.3063063063063063,0.31336405529953915,212
0.27,0.3333333333333333,0.2882882882882883,0.30917874396135264,192
0.28,0.3160919540229885,0.24774774774774774,0.2777777777777778,174
0.29,0.32894736842105265,0.22522522522522523,0.26737967914438504,152
0.3,0.3333333333333333,0.2072072072072072,0.25555555555555554,138
0.31,0.3333333333333333,0.19369369369369369,0.245014245014245,129
0.32,0.3474576271186441,0.18468468468468469,0.2411764705882353,118
0.33,0.3786407766990291,0.17567567567567569,0.24,103
0.34,0.3763440860215054,0.15765765765765766,0.2222222222222222,93
0.35,0.41025641025641024,0.14414414414414414,0.21333333333333335,78
0.36,0.43478260869565216,0.13513513513513514,0.20618556701030927,69
0.37,0.453125,0.13063063063063063,0.20279720279720279,64
0.38,0.46551724137931033,0.12162162162162163,0.19285714285714287,58
0.39,0.4897959183673469,0.10810810810810811,0.17712177121771217,49
0.4,0.5333333333333333,0.10810810810810811,0.1797752808988764,45
0.41,0.5609756097560976,0.1036036036036036,0.17490494296577946,41
0.42,0.5675675675675675,0.0945945945945946,0.16216216216216217,37
0.43,0.5588235294117647,0.08558558558558559,0.1484375,34
0.44,0.6333333333333333,0.08558558558558559,0.15079365079365079,30
0.45,0.6153846153846154,0.07207207207207207,0.12903225806451613,26
0.46,0.6521739130434783,0.06756756756756757,0.12244897959183673,23
0.47,0.6666666666666666,0.06306306306306306,0.11522633744855967,21
0.48,0.631578947368421,0.05405405405405406,0.0995850622406639,19
0.49,0.6875,0.04954954954954955,0.09243697478991597,16
0.5,0.7142857142857143,0.04504504504504504,0.0847457627118644,14
0.51,0.7692307692307693,0.04504504504504504,0.0851063829787234,13
0.52,0.75,0.04054054054054054,0.07692307692307693,12
0.53,0.8,0.036036036036036036,0.06896551724137931,10
0.54,0.8888888888888888,0.036036036036036036,0.06926406926406926,9
0.55,0.875,0.03153153153153153,0.06086956521739131,8
0.56,0.8571428571428571,0.02702702702702703,0.05240174672489083,7
0.57,0.8571428571428571,0.02702702702702703,0.05240174672489083,7
0.58,0.8571428571428571,0.02702702702702703,0.05240174672489083,7
0.59,1.0,0.02702702702702703,0.05263157894736842,6
0.6,1.0,0.02252252252252252,0.04405286343612335,5
0.61,1.0,0.02252252252252252,0.04405286343612335,5
0.62,1.0,0.018018018018018018,0.035398230088495575,4
0.63,1.0,0.013513513513513514,0.02666666666666667,3
0.64,1.0,0.013513513513513514,0.02666666666666667,3
0.65,1.0,0.013513513513513514,0.02666666666666667,3
0.66,1.0,0.013513513513513514,0.02666666666666667,3
0.67,1.0,0.013513513513513514,0.02666666666666667,3
0.68,1.0,0.013513513513513514,0.02666666666666667,3
0.69,1.0,0.013513513513513514,0.02666666666666667,3
0.7,1.0,0.013513513513513514,0.02666666666666667,3
0.71,1.0,0.013513513513513514,0.02666666666666667,3
0.72,1.0,0.013513513513513514,0.02666666666666667,3
0.73,1.0,0.013513513513513514,0.02666666666666667,3
0.74,1.0,0.009009009009009009,0.017857142857142856,2
0.75,1.0,0.009009009009009009,0.017857142857142856,2
0.76,1.0,0.009009009009009009,0.017857142857142856,2
0.77,1.0,0.009009009009009009,0.017857142857142856,2
0.78,1.0,0.009009009009009009,0.017857142857142856,2
0.79,1.0,0.0045045045045045045,0.008968609865470852,1
0.8,1.0,0.0045045045045045045,0.008968609865470852,1
0.81,1.0,0.0045045045045045045,0.008968609865470852,1
0.82,1.0,0.0045045045045045045,0.008968609865470852,1
0.83,1.0,0.0045045045045045045,0.008968609865470852,1
0.84,0.0,0.0,0.0,0
0.85,0.0,0.0,0.0,0
0.86,0.0,0.0,0.0,0
0.87,0.0,0.0,0.0,0
0.88,0.0,0.0,0.0,0
0.89,0.0,0.0,0.0,0
0.9,0.0,0.0,0.0,0
0.91,0.0,0.0,0.0,0
0.92,0.0,0.0,0.0,0
0.93,0.0,0.0,0.0,0
0.94,0.0,0.0,0.0,0
0.95,0.0,0.0,0.0,0
