epoch,train_pr_auc_unweighted,validation_pr_auc_unweighted
1,0.11563555896282196,0.17620527744293213
2,0.16206681728363037,0.2496042549610138
3,0.19705289602279663,0.28597813844680786
4,0.2284584790468216,0.32005995512008667
5,0.21402472257614136,0.33921295404434204
6,0.23905989527702332,0.34842485189437866
7,0.2519172132015228,0.3652861416339874
8,0.2609475255012512,0.370624303817749
9,0.2738588750362396,0.37546348571777344
10,0.26872730255126953,0.3755769431591034
11,0.2762894332408905,0.3809940218925476
12,0.28197669982910156,0.38132333755493164
13,0.31606483459472656,0.38200101256370544
14,0.2842552959918976,0.384754478931427
15,0.32652854919433594,0.38406482338905334
16,0.30148983001708984,0.3835970163345337
17,0.3200032711029053,0.38045597076416016
18,0.330618292093277,0.38016489148139954
19,0.3698093295097351,0.3808165490627289
20,0.30619287490844727,0.3795948624610901
21,0.3535028100013733,0.3822540044784546
22,0.3457200527191162,0.3810926377773285
23,0.3745974898338318,0.38162267208099365
24,0.364031583070755,0.3793029189109802
25,0.3509006202220917,0.3814912438392639
26,0.3968489170074463,0.38076555728912354
27,0.3703118562698364,0.3797619938850403
28,0.3814910352230072,0.37790897488594055
29,0.3316333591938019,0.3775613307952881
30,0.36171895265579224,0.37625861167907715
31,0.39394304156303406,0.3789401650428772
32,0.4058835208415985,0.3791887164115906
33,0.4116355776786804,0.3762550354003906
34,0.36625993251800537,0.37689846754074097
