code,FECHA,FALLECIDOS,target_multifatal,person_row_count,person_deceased_count,target_rebuilt_from_personas,deceased_equals_target_count,rows_cover_deceased,target_identity
A-2021-01-23,2021-01-01,1,0,1,1,0,True,True,True
A-2021-01-248,2021-01-01,1,0,4,1,0,True,True,True
A-2021-01-38,2021-01-01,2,1,2,2,1,True,True,True
A-2021-01-39,2021-01-01,1,0,3,1,0,True,True,True
A-2021-01-254,2021-01-01,1,0,2,1,0,True,True,True
A-2021-01-22,2021-01-01,1,0,2,1,0,True,True,True
A-2021-01-67,2021-01-01,1,0,2,1,0,True,True,True
A-2021-01-21,2021-01-02,1,0,3,1,0,True,True,True
A-2021-01-26,2021-01-02,1,0,2,1,0,True,True,True
A-2021-01-226,2021-01-02,1,0,2,1,0,True,True,True
A-2021-01-36,2021-01-02,1,0,2,1,0,True,True,True
A-2021-01-44,2021-01-02,1,0,4,1,0,True,True,True
A-2021-01-258,2021-01-03,1,0,2,1,0,True,True,True
A-2021-01-40,2021-01-03,1,0,3,1,0,True,True,True
A-2021-01-17,2021-01-03,1,0,5,1,0,True,True,True
A-2021-01-64,2021-01-03,1,0,2,1,0,True,True,True
A-2021-01-41,2021-01-03,1,0,3,1,0,True,True,True
A-2021-01-260,2021-01-04,1,0,2,1,0,True,True,True
A-2021-01-27,2021-01-04,1,0,2,1,0,True,True,True
A-2021-01-62,2021-01-04,1,0,3,1,0,True,True,True
A-2021-01-37,2021-01-04,1,0,4,1,0,True,True,True
A-2021-01-169,2021-01-04,1,0,2,1,0,True,True,True
A-2021-01-56,2021-01-04,1,0,4,1,0,True,True,True
A-2021-01-42,2021-01-04,1,0,3,1,0,True,True,True
A-2021-01-332,2021-01-04,1,0,2,1,0,True,True,True
A-2021-01-57,2021-01-05,1,0,2,1,0,True,True,True
A-2021-01-29,2021-01-05,1,0,2,1,0,True,True,True
A-2021-01-25,2021-01-05,1,0,1,1,0,True,True,True
A-2021-01-231,2021-01-06,1,0,2,1,0,True,True,True
A-2021-01-58,2021-01-06,1,0,2,1,0,True,True,True
A-2021-01-262,2021-01-06,2,1,3,2,1,True,True,True
A-2021-01-187,2021-01-07,1,0,1,1,0,True,True,True
A-2021-01-43,2021-01-07,1,0,2,1,0,True,True,True
A-2021-01-35,2021-01-08,1,0,2,1,0,True,True,True
A-2021-01-153,2021-01-08,1,0,3,1,0,True,True,True
