,count,unique,top,freq,mean,min,25%,50%,75%,max,std
FECHA,8117,,,,2020-12-16 06:54:03.858568,2020-01-01 00:00:00,2020-07-28 00:00:00,2021-01-04 00:00:00,2021-05-30 00:00:00,2021-09-30 00:00:00,
HORA,8030,595,07:00,124,,,,,,,
DEPARTAMENTO,8110,25,LIMA,1553,,,,,,,
CODIGO_VIA,8071,173,PE-1N,1485,,,,,,,
KILOMETRO,8032.0,,,,284.97871015936255,0.0,55.0,138.0,406.0,1394.0,327.0904580843373
MODALIDAD,8090,5,DESPISTE,3806,,,,,,,
FALLECIDOS,8117.0,,,,0.1693975606751263,0.0,0.0,0.0,0.0,33.0,0.7941132565495062
HERIDOS,8109.0,,,,1.3124922925144902,0.0,0.0,1.0,2.0,71.0,2.551689239249378
hora_entera,8030.0,,,,12.563636363636364,0.0,7.0,13.0,18.0,23.0,6.255140935289669
target_mortal,8117.0,,,,0.11716151287421461,0.0,0.0,0.0,0.0,1.0,0.32163245687585046
mes_periodo,8117,21,2021-08,560,,,,,,,
mes,8117.0,,,,5.9380312923493905,1.0,3.0,6.0,9.0,12.0,3.387744810554014
dia_semana,8117.0,,,,3.0197117161512876,0.0,1.0,3.0,5.0,6.0,2.034414546920201
target_label,8117,2,No mortal,7166,,,,,,,
