feature,origen,tipo,transformacion,justificacion
KILOMETRO,KILOMETRO / CODIGO_VIA / FECHA,numérica continua,Imputación/encoding en train y StandardScaler fit solo en train,Escala compatible con MLP y sin fuga de validación/test.
via_freq,KILOMETRO / CODIGO_VIA / FECHA,numérica continua,Imputación/encoding en train y StandardScaler fit solo en train,Escala compatible con MLP y sin fuga de validación/test.
anio,KILOMETRO / CODIGO_VIA / FECHA,numérica continua,Imputación/encoding en train y StandardScaler fit solo en train,Escala compatible con MLP y sin fuga de validación/test.
mes,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
dia_semana,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
fin_de_semana,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
feriado,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
quincena,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
hora_faltante,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
hora_sin,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
hora_cos,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
nocturno,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
km_faltante,FECHA / HORA / KILOMETRO,derivada numérica/binaria,Derivación determinística sin fit,"Aporta señal temporal, horaria o de faltantes sin fuga."
departamento_amazonas,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_ancash,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_apurimac,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_arequipa,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_ayacucho,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_cajamarca,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_callao,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_cusco,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_desconocido,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_huancavelica,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_huanuco,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_ica,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_junin,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_la_libertad,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_lambayeque,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_lima,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_loreto,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_madre_de_dios,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_moquegua,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_pasco,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_piura,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_puno,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_san_martin,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_tacna,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_tumbes,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
departamento_ucayali,DEPARTAMENTO,categórica one-hot,One-Hot con categorías observadas en train,Captura señal geográfica sin ordinalidad artificial.
region_costa,DEPARTAMENTO,categórica derivada,Mapeo fijo departamento a región natural + One-Hot,Agrupa patrones geográficos generales para reducir dispersión.
region_sierra,DEPARTAMENTO,categórica derivada,Mapeo fijo departamento a región natural + One-Hot,Agrupa patrones geográficos generales para reducir dispersión.
region_selva,DEPARTAMENTO,categórica derivada,Mapeo fijo departamento a región natural + One-Hot,Agrupa patrones geográficos generales para reducir dispersión.
region_desconocido,DEPARTAMENTO,categórica derivada,Mapeo fijo departamento a región natural + One-Hot,Agrupa patrones geográficos generales para reducir dispersión.
via_prefijo_am,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_an,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_ar,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_ay,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_cu,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_desconocido,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_hu,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_hv,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_ic,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_li,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_lm,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_lo,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_mo,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_pa,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_pe,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_pi,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_pu,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
via_prefijo_tu,CODIGO_VIA,categórica derivada,Extracción de prefijo alfabético + One-Hot,Representa familias de vías sin depender del código completo.
franja_madrugada,HORA,categórica temporal,Agrupación en franja horaria + One-Hot,Modela periodos del día interpretables.
franja_manana,HORA,categórica temporal,Agrupación en franja horaria + One-Hot,Modela periodos del día interpretables.
franja_tarde,HORA,categórica temporal,Agrupación en franja horaria + One-Hot,Modela periodos del día interpretables.
franja_noche,HORA,categórica temporal,Agrupación en franja horaria + One-Hot,Modela periodos del día interpretables.
franja_desconocida,HORA,categórica temporal,Agrupación en franja horaria + One-Hot,Modela periodos del día interpretables.
modalidad_atropello,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
modalidad_choque,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
modalidad_despiste,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
modalidad_especial,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
modalidad_volcadura,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
modalidad_desconocido,MODALIDAD,categórica one-hot,Normalización a categorías cerradas + One-Hot,La mecánica del accidente impacta directamente la severidad.
